pageid,title,protection,view_count,current_protection_status,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Measures of Central Tendencies ,Value,Current_Protection_Status
1656672,Anno Mundi, ,681306,,,,,,,,,
2196839,Tony Allen (musician), ,680118,,,,,,,,,
18707,Luigi Pirandello, ,677393,,,,,,,,,
432943,Baths of Caracalla, ,677207,,,,,,,,,
505770,Slave and free states, ,668229,,,,,,,,,
227295,Courtier, ,667085,,,,,,,,,
28607,Sergei Diaghilev, ,666988,,,,,,,,,
6132954,Gashadokuro, ,655597,,,,,,,,,
1699990,Globus cruciger, ,655141,,,,,,,,,
516027,Kirby's Dream Land, ,651636,,,,,,,,,
126747,"Massapequa, New York", ,649559,,,,,,,,,
47865363,Jérémie Boga, ,638046,,,,,,,,,
6110187,Tom Meighan, ,636292,,,,,,,,,
42848299,Wyatt Nash, ,626168,,,,,,,,,
847116,Claire Sweeney, ,619985,,,,,,,,,
879119,The House of Mirth, ,614963,,,,,,,,,
36190335,House of Xtravaganza, ,613249,,,,,,,,,
2984941,Pillar (car), ,608710,,,,,,,,,
18483349,Diligence, ,608239,,,,,,,,,
6371,Centaurus, ,608228,,,,,,,,,
2110712,ICO (file format), ,606236,,,,,,,,,
1848012,Intrathecal administration, ,602880,,,,,,,,,
4549814,Jurassic Park: The Ride, ,596066,,,,,,,,,
949631,Luxating patella, ,593637,,,,,,,,,
30865182,Dr. Dre Presents the Aftermath, ,591072,,,,,,,,,
1615727,Hiroshima mon amour, ,585284,,,,,,,,,
1737020,New Belgium Brewing Company, ,585087,,,,,,,,,
433739,Spitball, ,581415,,,,,,,,,
1058899,Binary opposition, ,581335,,,,,,,,,
5984234,Gallic rooster, ,579449,,,,,,,,,
97048,Picardy, ,576904,,,,,,,,,
1050261,MAS-49 rifle, ,576865,,,,,,,,,
28814296,King Abdullah Sports City, ,567749,,,,,,,,,
3488569,Charlotte (cake), ,559278,,,,,,,,,
17342187,Yannis Philippakis, ,555619,,,,,,,,,
1964809,List of lakes of Canada, ,554314,,,,,,,,,
43108368,Septembers of Shiraz, ,545266,,,,,,,,,
13406737,Flash in other media, ,540118,,,,,,,,,
33431636,University of Toledo, ,538725,,,,,,,,,
612925,Mark 46 torpedo, ,536943,,,,,,,,,
624690,Hohenwerfen Castle, ,536357,,,,,,,,,
1505350,Anne Jeffreys, ,535719,,,,,,,,,
24250,Polish Corridor, ,530659,,,,,,,,,
47935643,"My Daughter, Geum Sa-wol", ,529543,,,,,,,,,
48082266,Ben Smith (CrossFit), ,529114,,,,,,,,,
155625,Penetrance, ,528072,,,,,,,,,
2931650,G.I. Joe: A Real American Hero (1985 TV series), ,526053,,,,,,,,,
40215296,Georges-Kévin N'Koudou, ,522561,,,,,,,,,
46692239,Ismat Zaidi, ,519785,,,,,,,,,
1827851,Marine debris, ,518688,,,,,,,,,
1992662,The Life and Times of Juniper Lee, ,514951,,,,,,,,,
3044971,History of Japan–Korea relations, ,513933,,,,,,,,,
3394110,Modern Love (song), ,512066,,,,,,,,,
664301,The Carnivorous Carnival, ,511185,,,,,,,,,
3568755,Incident management, ,508932,,,,,,,,,
2625968,DO-178B, ,502923,,,,,,,,,
5329631,Aaron Dismuke, ,496251,,,,,,,,,
166611,Ludwig I of Bavaria, ,493237,,,,,,,,,
378331,Thomas Perkins (businessman), ,492400,,,,,,,,,
855728,Red McCombs, ,485956,,,,,,,,,
535982,Charity shop, ,483934,,,,,,,,,
638295,Snufkin, ,481509,,,,,,,,,
1841523,Symbolic (Death album), ,480747,,,,,,,,,
1433633,Regulation D (SEC), ,479681,,,,,,,,,
13839793,Battle of the Buffet, ,474294,,,,,,,,,
9118808,Jules Brunet, ,473376,,,,,,,,,
1598928,Pro tempore, ,473282,,,,,,,,,
7818598,List of films: T, ,472633,,,,,,,,,
491484,Paper machine, ,470483,,,,,,,,,
2486084,Syllabic consonant, ,468511,,,,,,,,,
685106,Betty Dodson, ,465302,,,,,,,,,
2128025,Croft (land), ,461908,,,,,,,,,
526462,The Heartbreakers, ,458343,,,,,,,,,
25803862,Mallet's Mortar, ,458033,,,,,,,,,
275603,Frank Wilczek, ,457845,,,,,,,,,
34633096,The Story of Film: An Odyssey, ,457089,,,,,,,,,
1126110,Photosystem II, ,456765,,,,,,,,,
95763,L4 microkernel family, ,454714,,,,,,,,,
37736117,Google Takeout, ,453642,,,,,,,,,
2237309,Cohesion (chemistry), ,450561,,,,,,,,,
2255820,Transthoracic echocardiogram, ,446257,,,,,,,,,
6905245,Seven Bridges Road, ,445995,,,,,,,,,
11945311,Medical school in the United States, ,445101,,,,,,,,,
5508002,New World crops, ,442438,,,,,,,,,
2514063,Phil Vickery (chef), ,442109,,,,,,,,,
29702692,Veppam, ,439248,,,,,,,,,
36190269,Chang'e 5, ,437750,,,,,,,,,
21538753,List of animated feature films of the 2000s, ,436507,,,,,,,,,
312358,Saffron Walden, ,427721,,,,,,,,,
4701050,University (The Sopranos), ,424786,,,,,,,,,
41563382,Shane Haste, ,418257,,,,,,,,,
481608,Sikorsky CH-37 Mojave, ,417715,,,,,,,,,
2856495,Deep operation, ,413337,,,,,,,,,
19743810,DJ Arafat, ,411128,,,,,,,,,
4721808,Rothschild banking family of France, ,410618,,,,,,,,,
46881932,Skylanders: SuperChargers, ,405576,,,,,,,,,
1855289,International Agency for Research on Cancer, ,401261,,,,,,,,,
241510,Phi phenomenon, ,400966,,,,,,,,,
1749993,20th Century Fox Home Entertainment, ,400690,,,,,,,,,
7887331,My Favorite Martian (film), ,398396,,,,,,,,,
578256,French Community of Belgium, ,397875,,,,,,,,,
437338,Al-Walid I, ,397427,,,,,,,,,
344807,Assignment (computer science), ,396476,,,,,,,,,
325550,Nain Singh Rawat, ,394998,,,,,,,,,
71917,Natural Color System, ,394367,,,,,,,,,
45677357,El ministerio del tiempo, ,391418,,,,,,,,,
48517301,Now (The Walking Dead), ,383995,,,,,,,,,
10740793,Rakie Ayola, ,383620,,,,,,,,,
345573,Alfred University, ,383228,,,,,,,,,
5780087,Kenzō Takada, ,382605,,,,,,,,,
752814,Up (R.E.M. album), ,379344,,,,,,,,,
5703780,Monjayaki, ,377977,,,,,,,,,
5613535,Islamic Republic of Iran Air Defense Force, ,376900,,,,,,,,,
4293742,Rajiv Gandhi International Cricket Stadium, ,376038,,,,,,,,,
1625925,People's Court (Germany), ,375646,,,,,,,,,
1929224,Culture of Afghanistan, ,370673,,,,,,,,,
18355520,Ariel, ,370369,,,,,,,,,
840704,Involute, ,369205,,,,,,,,,
31222700,Coldrain, ,368904,,,,,,,,,
498677,Lists of fictional species, ,367478,,,,,,,,,
4817717,Gatekeeper, ,365664,,,,,,,,,
474278,Unreal Tournament 2004, ,365607,,,,,,,,,
