pageid,title,protection_status,view_count,,,,,,,Measures of Central Tendencies ,Protected Articles,Unprotected Articles
9288,Elvis Presley,"autoconfirmed,sysop",40018730,,,,,,,,,
731111,Ryan Reynolds,"autoconfirmed,autoconfirmed",39984118,,,,,,,,,
28249265,Bitcoin,"autoconfirmed,autoconfirmed",39952739,,,,,,,,,
5058690,September 11 attacks,"autoconfirmed,sysop",39591219,,,,,,,,,
25391,Russia,"autoconfirmed,sysop",39247063,,,,,,,,,
16161443,IOS,autoconfirmed,38713893,,,,,,,,,
3747,Bill Gates,"autoconfirmed,sysop",38488980,,,,,,,,,
345802,John Cena,"autoconfirmed,sysop",38471508,,,,,,,,,
48857868,Deaths in 2016,"autoconfirmed,autoconfirmed",38468051,,,,,,,,,
43884887,Suicide Squad (film),"autoconfirmed,autoconfirmed",38432444,,,,,,,,,
5792809,Angelina Jolie,"autoconfirmed,sysop",38314955,,,,,,,,,
523032,Kanye West,"autoconfirmed,sysop",37930238,,,,,,,,,
27318,Singapore,"autoconfirmed,sysop",37831527,,,,,,,,,
34434172,Exo (band),autoconfirmed,37646667,,,,,,,,,
361176,Bernie Sanders,"autoconfirmed,sysop",37599045,,,,,,,,,
16175,Jennifer Lopez,"autoconfirmed,sysop",37465522,,,,,,,,,
11867,Germany,"autoconfirmed,sysop",37429930,,,,,,,,,
5608488,Stephen Curry,"autoconfirmed,autoconfirmed",37314044,,,,,,,,,
32611,Vietnam War,"autoconfirmed,sysop",37215618,,,,,,,,,
83688,Beyoncé,"autoconfirmed,sysop",36990837,,,,,,,,,
9282173,Israel,"autoconfirmed,sysop",36833818,,,,,,,,,
1861441,Ivanka Trump,"autoconfirmed,sysop",36821429,,,,,,,,,
11955,George H. W. Bush,"autoconfirmed,sysop",36811676,,,,,,,,,
44849,Brad Pitt,"autoconfirmed,sysop",36765501,,,,,,,,,
41974496,Captain America: Civil War,"autoconfirmed,autoconfirmed",36596384,,,,,,,,,
15573,Japan,"autoconfirmed,sysop",36584527,,,,,,,,,
21881809,Kylie Jenner,"autoconfirmed,autoconfirmed",36266265,,,,,,,,,
17173785,Heath Ledger,"autoconfirmed,sysop",36246161,,,,,,,,,
21377251,"United States presidential election, 2016","autoconfirmed,sysop",36139367,,,,,,,,,
262376,Roger Federer,"autoconfirmed,sysop",35903311,,,,,,,,,
37313,Bruce Lee,"autoconfirmed,sysop",35676520,,,,,,,,,
1221476,Chris Hemsworth,"autoconfirmed,autoconfirmed",35579736,,,,,,,,,
2387806,Harry Potter,"autoconfirmed,sysop",35443112,,,,,,,,,
5043192,Hillary Clinton,"autoconfirmed,sysop",35289100,,,,,,,,,
154698,Will Smith,"autoconfirmed,sysop",35208339,,,,,,,,,
6844407,Selena Gomez,"autoconfirmed,sysop",35149331,,,,,,,,,
3414021,George W. Bush,"autoconfirmed,sysop",35126032,,,,,,,,,
400738,Mila Kunis,autoconfirmed,34886040,,,,,,,,,
43568,Tom Hanks,"autoconfirmed,sysop",34702153,,,,,,,,,
19318,Marilyn Monroe,"autoconfirmed,sysop",34650044,,,,,,,,,
3356,Bill Clinton,"autoconfirmed,sysop",34434066,,,,,,,,,
773158,Caitlyn Jenner,"autoconfirmed,sysop",34277559,,,,,,,,,
5052197,Elton John,"autoconfirmed,sysop",34030887,,,,,,,,,
12684530,Jennifer Lawrence,"autoconfirmed,sysop",33829320,,,,,,,,,
10979,Franklin D. Roosevelt,"autoconfirmed,sysop",33774785,,,,,,,,,
8135890,Miley Cyrus,"autoconfirmed,sysop",33435470,,,,,,,,,
2265561,Blake Lively,"autoconfirmed,autoconfirmed",33391217,,,,,,,,,
32897,William Shakespeare,"autoconfirmed,sysop",33320258,,,,,,,,,
5843419,France,"autoconfirmed,sysop",33217002,,,,,,,,,
32817,Vladimir Putin,"autoconfirmed,sysop",33150962,,,,,,,,,
26805,Sex,"autoconfirmed,sysop",33028371,,,,,,,,,
2145410,List of Super Bowl champions,"autoconfirmed,autoconfirmed",32883626,,,,,,,,,
19961,Manchester United F.C.,"autoconfirmed,sysop",32856705,,,,,,,,,
16017429,Virat Kohli,"autoconfirmed,autoconfirmed",32712782,,,,,,,,,
45492650,Pornhub,"autoconfirmed,autoconfirmed",32593897,,,,,,,,,
149243,Emma Watson,"autoconfirmed,sysop",32565190,,,,,,,,,
863,American Civil War,"autoconfirmed,sysop",32207673,,,,,,,,,
2110323,Rihanna,"autoconfirmed,autoconfirmed",32156514,,,,,,,,,
53242,Robin Williams,"autoconfirmed,sysop",32137415,,,,,,,,,
39626432,Edward Snowden,autoconfirmed,32064007,,,,,,,,,
43867095,Deadpool (film),"autoconfirmed,autoconfirmed",31995038,,,,,,,,,
2844938,Mark Zuckerberg,"autoconfirmed,sysop",31973975,,,,,,,,,
9317,European Union,"autoconfirmed,sysop",31941972,,,,,,,,,
11968,George Washington,"autoconfirmed,sysop",31908836,,,,,,,,,
62682,A. P. J. Abdul Kalam,"autoconfirmed,autoconfirmed",31883891,,,,,,,,,
15992,Jimmy Carter,"autoconfirmed,sysop",31712161,,,,,,,,,
16218,Jeffrey Dahmer,"autoconfirmed,sysop",31701146,,,,,,,,,
39027,Mike Tyson,"autoconfirmed,sysop",31698825,,,,,,,,,
4913064,New Zealand,"autoconfirmed,sysop",31599733,,,,,,,,,
23235,Pakistan,"autoconfirmed,sysop",31464013,,,,,,,,,
444222,Narendra Modi,"autoconfirmed,autoconfirmed",31206468,,,,,,,,,
29812,The Beatles,"autoconfirmed,sysop",31187624,,,,,,,,,
5962511,Kim Jong-un,autoconfirmed,31134763,,,,,,,,,
147726,Shaquille O'Neal,"autoconfirmed,sysop",31094677,,,,,,,,,
24113,President of the United States,"autoconfirmed,sysop",30980561,,,,,,,,,
1649321,List of United States cities by population,"autoconfirmed,autoconfirmed",30912456,,,,,,,,,
12520860,Demi Lovato,"autoconfirmed,sysop",30892328,,,,,,,,,
30528002,Ed Sheeran,"autoconfirmed,autoconfirmed",30818496,,,,,,,,,
15881,Java (programming language),"autoconfirmed,autoconfirmed",30798232,,,,,,,,,
7629286,Harry Potter (film series),"autoconfirmed,sysop",30523801,,,,,,,,,
7932564,UEFA Euro 2016,"autoconfirmed,autoconfirmed",30308697,,,,,,,,,
377337,Sunny Leone,"autoconfirmed,sysop",30151737,,,,,,,,,
44220,UEFA Champions League,"autoconfirmed,autoconfirmed",29981740,,,,,,,,,
26903,Solar System,"autoconfirmed,sysop",29961372,,,,,,,,,
18366271,Nick Jonas,"autoconfirmed,sysop",29943384,,,,,,,,,
